City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
403,Lata,PT,40.1629,-8.3327,62.92,88,100,5.14,overcast clouds
404,Uusikaupunki,FI,65.8596,24.8228,44.37,100,14,1.14,few clouds
405,Lethem,GY,3.3803,-59.7968,75.63,90,20,5.57,heavy intensity rain
406,Saint-Augustin,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
407,Brae,GB,60.3964,-1.353,51.71,72,99,7.99,overcast clouds
408,Bereda,SO,9.4942,50.8122,77.49,75,81,27.04,broken clouds
409,Chapleau,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
410,Labuan,MY,6.8837,116.8477,76.93,94,40,14.97,scattered clouds
411,Rungata,KI,3.0707,172.7902,83.84,72,100,10.98,overcast clouds
412,Moss Point,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
413,Grand Centre,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
414,Tura,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
415,Ostersund,SE,63.1792,14.6357,50.61,76,90,16.11,overcast clouds
416,Svetlogorsk,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
417,Mwinilunga,ZM,-10.1606,32.6335,48.51,83,8,0.54,clear sky
418,Port Lincoln,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
419,Karoi,ZW,-21.05,31.6667,55.42,76,86,2.59,overcast clouds
420,Santa Cruz,CR,9.4236,-84.1652,83.5,87,100,1.83,overcast clouds
421,Gallup,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
422,Kumo,NG,6.4402,7.4943,72.36,94,100,3.51,overcast clouds
423,Ballina,IE,51.55,-9.2667,66.0,90,0,4.12,clear sky
424,Batangafo,CF,10.2849,22.7882,71.17,94,100,3.22,overcast clouds
425,Seydi,TM,39.5108,54.3671,86.0,26,0,2.28,clear sky
426,Wuxue,CN,42.8,93.45,77.5,31,88,3.36,overcast clouds
427,Foix,FR,45.55,2.3167,61.09,91,4,7.87,clear sky
428,Kushmurun,KZ,44.1667,52.1167,80.85,33,0,5.14,clear sky
429,Dunedin,NZ,-46.6,168.3333,43.81,79,94,5.35,overcast clouds
430,Nyuksenitsa,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
431,Minab,IR,27.1467,57.0801,88.25,72,50,1.59,scattered clouds
432,Rebrikha,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
433,Bonavista,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
434,Geneva,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
435,Sabha,LY,32.3754,15.0925,76.87,67,0,14.99,clear sky
436,Marsh Harbour,AU,-32.5833,151.7833,58.86,50,100,9.75,overcast clouds
437,Kaoma,ZM,-10.1606,32.6335,48.51,83,8,0.54,clear sky
438,Ellisras,ZA,-33.918,25.5701,62.1,30,0,10.16,clear sky
439,Santa Isabel,MX,27.85,-105.4833,69.21,68,100,16.02,overcast clouds
440,Byron Bay,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
441,Kirakira,PT,40.1629,-8.3327,62.92,88,100,5.14,overcast clouds
442,Keetmanshoop,NA,-22.45,18.9667,44.37,44,0,12.01,clear sky
443,Svetlaya,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
444,Hofn,IS,63.4427,-20.2734,50.14,87,78,9.73,broken clouds
445,Verkhnyaya Inta,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
446,Malanje,AO,-15.1961,12.1522,67.23,87,4,5.88,clear sky
447,Moussoro,SA,18.3851,42.4509,64.51,47,100,7.85,overcast clouds
448,Port Hardy,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
449,Izumo,JP,28.3667,129.4833,85.12,84,84,19.69,broken clouds
450,Mount Gambier,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
451,La Rioja,AR,-38.0023,-57.5575,49.08,56,100,5.01,overcast clouds
452,Chara,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
453,Bundaberg,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
454,Dalianwan,CN,42.8,93.45,77.5,31,88,3.36,overcast clouds
455,Araripe,BR,-2.7619,-42.2744,77.49,88,3,6.42,clear sky
456,Port Hedland,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
457,Victor Harbor,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
458,Havoysund,NO,70.3705,31.1107,47.16,85,100,21.25,overcast clouds
459,Guiyang,CN,42.8,93.45,77.5,31,88,3.36,overcast clouds
460,Saint Pete Beach,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
461,Ahipara,NZ,-46.6,168.3333,43.81,79,94,5.35,overcast clouds
462,Airai,TL,-8.9266,125.4092,71.26,38,47,4.23,scattered clouds
463,Edson,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
464,San Cristobal,EC,-0.7393,-90.3518,72.55,89,47,5.01,scattered clouds
465,Pringsewu,ID,4.1363,96.1285,76.93,78,94,3.76,overcast clouds
466,Okha,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
467,Buin,BR,-24.7911,-50.0119,37.13,66,0,7.61,clear sky
468,Kismayo,SO,9.4942,50.8122,77.49,75,81,27.04,broken clouds
469,La Ronge,CA,54.1169,-112.4686,57.96,82,100,4.61,overcast clouds
470,Zaragoza,ES,28.6585,-17.9182,65.95,94,1,12.66,clear sky
471,Portland,GB,51.0333,-4.2167,66.38,91,16,3.62,few clouds
472,Chokurdakh,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
473,Anori,BR,-2.7619,-42.2744,77.49,88,3,6.42,clear sky
474,Eyl,SO,9.4942,50.8122,77.49,75,81,27.04,broken clouds
475,Mitchell,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
476,Maceio,BR,-2.7619,-42.2744,77.49,88,3,6.42,clear sky
477,Sovetskiy,RU,71.9667,102.5,60.4,65,100,12.68,overcast clouds
478,Tubuala,PA,9.2333,-78.0167,79.74,88,87,4.21,overcast clouds
479,Ottawa,US,37.2707,-76.7075,83.95,78,75,5.75,broken clouds
480,Tabas,IR,27.1467,57.0801,88.25,72,50,1.59,scattered clouds
481,Buchanan,LR,5.8808,-10.0467,76.03,86,49,5.68,scattered clouds
