City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
80,Nanortalik,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
81,Sorland,70.0311,20.9714,50.0,82,100,30.2,NO,light rain
82,Candido Mendes,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
83,Tiarei,-46.1927,168.8643,48.47,90,45,2.89,NZ,light rain
84,Upernavik,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
85,Kruisfontein,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
86,Makakilo City,22.0752,-159.319,80.92,79,75,5.01,US,light rain
87,Vidim,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
88,Jamestown,5.4112,100.3354,91.33,70,20,8.01,MY,few clouds
89,Tromso,70.0311,20.9714,50.0,82,100,30.2,NO,light rain
90,Ambovombe,-18.4,47.8667,52.12,81,62,5.12,MG,broken clouds
91,Hithadhoo,3.7833,72.9667,83.28,75,100,15.5,MV,overcast clouds
92,Saskylakh,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
93,Sungai Besar,3.6746,100.9867,91.45,64,95,8.7,MY,overcast clouds
94,Abu Dhabi,24.4667,54.3667,93.31,43,0,6.91,AE,clear sky
95,Mnogovershinnyy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
96,Wau,-10.6167,150.6667,78.49,72,91,13.38,PG,overcast clouds
97,Itarema,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
98,Victoria,22.2855,114.1577,90.32,72,39,1.99,HK,scattered clouds
99,Te Anau,-46.6,168.3333,48.79,61,46,10.33,NZ,scattered clouds
100,Roma,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
101,Biella,38.685,16.5499,75.15,81,5,10.33,IT,clear sky
102,Novochernorechenskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
103,Ribeira Grande,37.7167,-25.4333,66.61,82,86,6.51,PT,overcast clouds
104,Muravlenko,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
105,Castro,-53.15,-70.9167,33.91,100,75,4.61,CL,broken clouds
106,Barentsburg,78.2186,15.6401,44.44,65,0,3.44,SJ,clear sky
107,Punta Arenas,-53.15,-70.9167,33.91,100,75,4.61,CL,broken clouds
108,Gayeri,11.5544,-1.7736,74.77,75,86,7.09,BF,overcast clouds
109,Volchikha,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
